Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.uv.pacific.core.json	19178	-	0	0	0	0	0	0	17	238	0	0	0	0	0	0	0	0	0	0	0	150	237	0	0	0	5	0	3
fsh-generated/resources/NamingSystem-FijiOrganizationIdentifier.json	475	2	11	0	2	0	0	0	1	5	2393	0	0	0	0	0	0	0	0	0	0	18	23	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-FijiPatientIdentifier.json	451	1	3	0	0	0	0	0	0	3	23	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-FijiPractitionerRegistration.json	492	1	1	0	0	0	0	0	0	3	21	0	0	0	1	0	0	0	0	0	0	15	18	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-WSPractitionerRegistration.json	507	1	2	0	0	0	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
fsh-generated/resources/Organization-PacificHospitalExample.json	614	1	0	0	0	0	0	0	1	302	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientExample1.json	852	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientExample2.json	864	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientFijiITaukei.json	902	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Patient-PacificPatientFijiIndo.json	665	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-PacificPractitionerExample.json	758	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PacificPractitionerRoleExample.json	644	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	10	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pacific-address-island.json	1457	2	0	10	1	0	0	0	0	709	0	0	1	0	0	0	0	0	0	0	0	45	551	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-pacific-address-village.json	1461	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	50	183	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-pacific-address.json	7016	2	0	20	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	117	289	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-pacific-allergy-intolerance.json	1698	1	0	31	0	0	0	0	0	14	0	0	0	0	1	0	0	1	0	0	0	159	354	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-pacific-clan-affiliation.json	1777	1	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	59	137	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-pacific-condition.json	1397	2	0	31	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	154	952	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-pacific-humanname.json	4145	1	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	57	167	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-pacific-immunization.json	4063	1	0	46	1	0	0	0	1	27	0	0	0	0	0	0	0	1	0	0	0	170	523	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-pacific-observation.json	1359	1	0	41	0	0	0	0	0	16	0	0	0	0	1	0	0	1	0	0	0	155	764	0	0	0	10	1	0
fsh-generated/resources/StructureDefinition-pacific-organization.json	1364	1	0	22	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	88	244	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-pacific-patient.json	4644	2	0	36	0	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	0	163	340	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-pacific-practitioner-role.json	3001	1	0	25	0	0	0	0	0	12	0	0	0	0	1	0	0	1	0	0	0	112	183	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-pacific-practitioner.json	4158	2	0	32	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	147	491	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-pacific-vital-blood-pressure.json	5391	3	0	51	0	0	0	0	0	63	0	0	0	0	0	0	0	2	0	0	0	335	576	0	0	0	15	0	1
